incident_id,date,state,n_killed,,,,,,,,,,,,,,,,
92369,1/2/14,Alaska,0,,,,,,,,,,,,,,,,
93426,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92534,1/2/14,South Carolina,0,,,,,,,,,,,,,,,,
92817,1/2/14,Alabama,1,,,,,,,,,,,,,,,,
92322,1/2/14,Indiana,1,,,,,,,,,,,,,,,,
92793,1/2/14,North Carolina,0,,,,,,,,,,,,,,,,
92517,1/2/14,South Carolina,0,,,,,,,,,,,,,,,,
92324,1/2/14,Arizona,0,,,,,,,,,,,,,,,,
92796,1/2/14,North Carolina,0,,,,,,,,,,,,,,,,
92591,1/2/14,Arizona,0,,,,,,,,,,,,,,,,
109172,1/2/14,Indiana,1,,,,,,,,,,,,,,,,
92349,1/2/14,Pennsylvania,0,,,,,,,,,,,,,,,,
92798,1/2/14,North Carolina,0,,,,,,,,,,,,,,,,
92605,1/2/14,Michigan,0,,,,,,,,,,,,,,,,
120733,1/2/14,Pennsylvania,0,,,,,,,,,,,,,,,,
92351,1/2/14,Oregon,0,,,,,,,,,,,,,,,,
92803,1/2/14,Colorado,1,,,,,,,,,,,,,,,,
92609,1/2/14,Colorado,1,,,,,,,,,,,,,,,,
149107,1/2/14,Massachusetts,0,,,,,,,,,,,,,,,,
92483,1/2/14,South Carolina,0,,,,,,,,,,,,,,,,
93348,1/2/14,California,1,,,,,,,,,,,,,,,,
92639,1/2/14,Indiana,0,,,,,,,,,,,,,,,,
150396,1/2/14,New Jersey,0,,,,,,,,,,,,,,,,
92492,1/2/14,Alabama,0,,,,,,,,,,,,,,,,
93401,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92730,1/2/14,New Jersey,0,,,,,,,,,,,,,,,,
92494,1/2/14,Georgia,1,,,,,,,,,,,,,,,,
93404,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92366,1/2/14,Wyoming,0,,,,,,,,,,,,,,,,
92846,1/2/14,Louisiana,0,,,,,,,,,,,,,,,,
94411,1/2/14,Delaware,0,,,,,,,,,,,,,,,,
92664,1/2/14,Utah,0,,,,,,,,,,,,,,,,
92426,1/2/14,Tennessee,2,,,,,,,,,,,,,,,,
92536,1/2/14,Florida,1,,,,,,,,,,,,,,,,
92904,1/2/14,Arkansas,0,,,,,,,,,,,,,,,,
92589,1/2/14,Louisiana,0,,,,,,,,,,,,,,,,
220357,1/2/14,Pennsylvania,0,,,,,,,,,,,,,,,,
92449,1/2/14,Kentucky,0,,,,,,,,,,,,,,,,
93311,1/2/14,South Carolina,0,,,,,,,,,,,,,,,,
92712,1/2/14,Texas,0,,,,,,,,,,,,,,,,
92460,1/2/14,Tennessee,0,,,,,,,,,,,,,,,,
93346,1/2/14,California,0,,,,,,,,,,,,,,,,
